               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,             0.02973,            0.013578,           0.0023763,             0.96949,             0.91999,             0.93774,             0.59635,            0.027382,           0.0054655,           0.0028352,            0.005545,            0.005545,            0.005545
                  56,            0.029657,            0.012242,           0.0025673,             0.94641,             0.88694,             0.93684,             0.60266,            0.023801,            0.005486,           0.0030698,           0.0054625,           0.0054625,           0.0054625
                  57,            0.025016,             0.01157,           0.0029115,             0.92879,             0.89119,             0.93793,             0.59706,            0.025218,           0.0053372,           0.0034355,             0.00538,             0.00538,             0.00538
                  58,            0.029264,             0.01222,           0.0052518,             0.89852,             0.90846,             0.94519,             0.61057,            0.026752,           0.0050719,           0.0042275,           0.0052975,           0.0052975,           0.0052975
                  59,            0.026257,            0.012015,           0.0023192,             0.96679,              0.9121,              0.9494,             0.64409,            0.028849,           0.0049632,           0.0028666,            0.005215,            0.005215,            0.005215
                  60,            0.022767,             0.01075,           0.0017449,             0.90254,             0.91472,             0.93979,             0.60622,            0.029422,           0.0051272,           0.0030036,           0.0051325,           0.0051325,           0.0051325
                  61,            0.026987,            0.011578,           0.0023653,             0.95308,             0.91346,             0.94222,             0.61054,            0.029028,           0.0053452,           0.0023938,             0.00505,             0.00505,             0.00505
                  62,            0.027285,            0.012086,           0.0038455,             0.95132,             0.90316,             0.93531,              0.6236,            0.026611,           0.0054902,           0.0028754,           0.0049675,           0.0049675,           0.0049675
                  63,            0.024889,            0.011341,           0.0031136,             0.91881,             0.81909,             0.91961,             0.62803,            0.025802,           0.0054637,           0.0060013,            0.004885,            0.004885,            0.004885
                  64,            0.030339,              0.0116,           0.0087024,             0.84419,             0.89157,             0.91188,             0.61873,            0.024632,           0.0059607,           0.0060284,           0.0048025,           0.0048025,           0.0048025
                  65,            0.028223,            0.011432,           0.0030287,             0.92288,              0.8461,             0.90465,              0.5679,            0.025883,           0.0061705,           0.0031661,             0.00472,             0.00472,             0.00472
                  66,            0.029902,            0.011029,           0.0081826,             0.87911,               0.884,             0.90831,             0.56693,            0.025289,            0.006301,           0.0023971,           0.0046375,           0.0046375,           0.0046375
                  67,            0.025895,            0.010644,           0.0025284,             0.96918,             0.86258,             0.93907,             0.60313,            0.023321,           0.0058298,           0.0015727,            0.004555,            0.004555,            0.004555
                  68,            0.019632,            0.010481,            0.005195,             0.89555,             0.92229,             0.94108,             0.60619,            0.025795,           0.0059251,           0.0013794,           0.0044725,           0.0044725,           0.0044725
                  69,            0.023236,            0.010967,           0.0027245,             0.87819,             0.90616,             0.92549,             0.60218,            0.024193,           0.0063498,            0.001801,             0.00439,             0.00439,             0.00439
                  70,            0.025399,            0.011648,           0.0026979,             0.91655,             0.86958,             0.91766,             0.58209,            0.025595,           0.0061813,            0.002263,           0.0043075,           0.0043075,           0.0043075
                  71,            0.023739,            0.010496,           0.0020618,             0.94614,             0.86923,             0.91429,             0.61739,            0.027467,           0.0058469,           0.0022641,            0.004225,            0.004225,            0.004225
                  72,            0.025892,            0.010388,           0.0031056,             0.91049,             0.92229,             0.93392,               0.631,            0.027926,            0.005762,           0.0012509,           0.0041425,           0.0041425,           0.0041425
                  73,            0.020665,            0.010899,           0.0026292,             0.89335,             0.89963,             0.90869,             0.60139,            0.029916,           0.0060479,           0.0017928,             0.00406,             0.00406,             0.00406
                  74,            0.023584,            0.010922,           0.0029285,              0.9331,             0.88808,             0.91077,             0.62302,            0.026757,           0.0061538,            0.001713,           0.0039775,           0.0039775,           0.0039775
                  75,            0.026943,            0.011472,           0.0018269,             0.92119,             0.91472,             0.91893,             0.62212,             0.02692,           0.0058538,           0.0014427,            0.003895,            0.003895,            0.003895
                  76,            0.021319,            0.010536,           0.0021576,             0.89152,              0.9062,             0.90507,             0.62358,            0.031301,            0.005885,           0.0012722,           0.0038125,           0.0038125,           0.0038125
                  77,            0.022995,             0.01153,           0.0019816,             0.92055,             0.89396,             0.90304,             0.61966,            0.031789,           0.0058298,           0.0013459,             0.00373,             0.00373,             0.00373
                  78,            0.026942,            0.010708,           0.0025163,             0.86766,             0.88494,             0.90275,             0.60157,            0.030219,           0.0058625,           0.0020873,           0.0036475,           0.0036475,           0.0036475
                  79,            0.025577,            0.010629,           0.0013324,             0.85373,             0.89198,             0.89212,             0.60442,            0.029648,            0.005793,           0.0032471,            0.003565,            0.003565,            0.003565
                  80,            0.020581,           0.0097172,           0.0032481,             0.82771,             0.86773,             0.88431,             0.57591,            0.029465,           0.0060847,           0.0051111,           0.0034825,           0.0034825,           0.0034825
                  81,            0.022391,            0.010944,           0.0015884,             0.85059,             0.83577,             0.88237,             0.59064,            0.027822,           0.0061522,            0.005965,              0.0034,              0.0034,              0.0034
